codigo_mgn,nombre_municipio,departamento,subregion_pdet,google_edificios,google_area_m2,microsoft_edificios_original,microsoft_area_m2_original,microsoft_duplicados_con_google,microsoft_unicos_agregados,microsoft_area_m2_unica_agregada,total_edificios_sin_duplicados,total_area_m2_sin_duplicados,overlap_min_ratio,fuente_prioritaria
54206,CONVENCIÓN,,CATATUMBO,14277,1111196.34,8465,904541.97,4200,4265,307450.22,18542,1418646.56,0.5,google
54245,EL CARMEN,,CATATUMBO,8903,672033.16,5884,543155.31,2963,2921,208012.15,11824,880045.31,0.5,google
54250,EL TARRA,,CATATUMBO,9826,785842.8,10956,1177331.02,4485,6471,505806.12,16297,1291648.92,0.5,google
54344,HACARÍ,,CATATUMBO,6756,491249.46,4874,473920.92,3016,1858,118800.52,8614,610049.98,0.5,google
54670,SAN CALIXTO,,CATATUMBO,7736,536645.09,5360,504869.46,2128,3232,238021.17,10968,774666.26,0.5,google
54720,SARDINATA,,CATATUMBO,13388,1101394.88,10090,1112652.95,4911,5179,344018.81,18567,1445413.69,0.5,google
54800,TEORAMA,,CATATUMBO,10550,878516.47,8525,932560.89,3190,5335,414449.44,15885,1292965.91,0.5,google
54810,TIBÚ,,CATATUMBO,32843,2636703.11,35478,3569509.95,13346,22132,1599080.73,54975,4235783.84,0.5,google
70204,COLOSO,,MONTES DE MARÍA,6278,401576.28,3999,318958.43,3389,610,27743.29,6888,429319.57,0.5,google
70230,CHALÁN,,MONTES DE MARÍA,3144,206265.37,1902,151648.35,1251,651,38479.29,3795,244744.66,0.5,google
70418,LOS PALMITOS,,MONTES DE MARÍA,13792,855428.03,7011,668974.55,5128,1883,121042.79,15675,976470.82,0.5,google
70473,MORROA,,MONTES DE MARÍA,10424,651957.41,5015,511017.18,3505,1510,93827.37,11934,745784.78,0.5,google
70508,OVEJAS,,MONTES DE MARÍA,16588,1067784.7,9648,812703.19,6321,3327,189810.43,19915,1257595.13,0.5,google
70523,SAN ANTONIO DE PALMITO,,MONTES DE MARÍA,8938,498134.67,4812,377626.43,4392,420,16340.0,9358,514474.67,0.5,google
70713,SAN ONOFRE,,MONTES DE MARÍA,24614,1691975.94,17348,1490877.96,12836,4512,252527.95,29126,1944503.89,0.5,google
70823,TOLÚ VIEJO,,MONTES DE MARÍA,15330,964473.76,8333,769203.31,6706,1627,70849.29,16957,1035323.05,0.5,google
73067,ATACO,,SUR DEL TOLIMA,5354,439247.93,10931,1015117.87,1474,9457,764743.17,14811,1203991.1,0.5,google
73168,CHAPARRAL,,SUR DEL TOLIMA,18703,1719404.81,16849,1974276.54,6852,9997,748103.94,28700,2467508.75,0.5,google
73555,PLANADAS,,SUR DEL TOLIMA,7276,538085.15,11274,983316.48,1790,9484,703074.07,16760,1241159.22,0.5,google
73616,RIOBLANCO,,SUR DEL TOLIMA,1329,102859.07,9018,792319.66,397,8621,718323.33,9950,821182.4,0.5,google
76109,BUENAVENTURA,,PACÍFICO MEDIO,103890,7658352.05,33020,7138217.08,18668,14352,1262966.27,118242,8921318.32,0.5,google
76275,FLORIDA,,ALTO PATÍA Y NORTE DEL CAUCA,14231,1663995.84,8374,1625821.71,5098,3276,304081.81,17507,1968077.65,0.5,google
76563,PRADERA,,ALTO PATÍA Y NORTE DEL CAUCA,12953,1555634.34,7428,1568340.22,4650,2778,264003.75,15731,1819638.09,0.5,google
81065,ARAUQUITA,,ARAUCA,35077,2919565.44,27815,3317209.87,13146,14669,1229102.8,49746,4148668.24,0.5,google
81300,FORTUL,,ARAUCA,15564,1328203.26,9760,1155772.29,5613,4147,324004.98,19711,1652208.24,0.5,google
81736,SARAVENA,,ARAUCA,25140,1992293.37,16141,2961965.48,8135,8006,727902.21,33146,2720195.58,0.5,google
81794,TAME,,ARAUCA,35958,3183325.12,20958,2761029.83,9377,11581,1015445.25,47539,4198770.37,0.5,google
86001,MOCOA,,PUTUMAYO,22816,2242457.94,12229,2087524.91,7775,4454,316731.19,27270,2559189.13,0.5,google
86320,ORITO,,PUTUMAYO,18074,1624784.72,17840,2029245.49,6065,11775,913638.46,29849,2538423.18,0.5,google
86568,PUERTO ASÍS,,PUTUMAYO,27581,2660278.32,21234,3056417.43,11234,10000,768582.18,37581,3428860.5,0.5,google
86569,PUERTO CAICEDO,,PUTUMAYO,7768,689675.51,6093,730699.8,3143,2950,209270.96,10718,898946.47,0.5,google
86571,PUERTO GUZMÁN,,PUTUMAYO,8326,695705.79,10745,1120443.49,2915,7830,664567.7,16156,1360273.49,0.5,google
86573,LEGUÍZAMO,,PUTUMAYO,2898,218214.24,7850,967650.53,1067,6783,827819.58,9681,1046033.82,0.5,google
86757,SAN MIGUEL,,PUTUMAYO,12160,925673.03,8558,887836.75,4794,3764,267071.61,15924,1192744.64,0.5,google
86865,VALLE DEL GUAMUEZ,,PUTUMAYO,16228,1492643.42,14349,1631941.78,6016,8333,671456.62,24561,2164100.04,0.5,google
86885,VILLAGARZÓN,,PUTUMAYO,13366,1296896.82,9550,1346246.55,3765,5785,501839.92,19151,1798736.74,0.5,google
95001,SAN JOSÉ DEL GUAVIARE,,MACARENA - GUAVIARE,32695,3147419.35,21446,3099880.81,12871,8575,705893.16,41270,3853312.51,0.5,google
95015,CALAMAR,,MACARENA - GUAVIARE,5708,520488.95,5411,624786.34,1727,3684,324159.42,9392,844648.37,0.5,google
95025,EL RETORNO,,MACARENA - GUAVIARE,11332,922277.4,8453,898384.29,4238,4215,316426.92,15547,1238704.32,0.5,google
95200,MIRAFLORES,,MACARENA - GUAVIARE,3670,318022.51,1773,207860.95,967,806,54653.59,4476,372676.1,0.5,google
