fuente,codigo_mgn,nombre_municipio,n_edificios,area_total_m2,area_promedio_m2,area_min_m2,area_max_m2,conf_promedio
google,50577,PUERTO LLERAS,6595,577680.31,87.59367854435179,4.44,1536.62,0.7710042304776346
microsoft,50577,PUERTO LLERAS,5569,,,,,
google,18592,PUERTO RICO,12306,1327657.96,107.8870437185113,4.19,1975.29,0.7833698114740777
google,50590,PUERTO RICO,9290,750737.81,80.81138966630786,3.68,6244.33,0.7734720452099031
microsoft,18592,PUERTO RICO,11430,,,,,
microsoft,50590,PUERTO RICO,7422,,,,,
google,05604,REMEDIOS,13248,963031.32,72.69258152173913,3.31,4817.4,0.776231755736715
google,52612,RICAURTE,196,10836.32,55.28734693877551,8.18,155.47,0.7884326530612246
microsoft,52612,RICAURTE,4878,,,,,
google,73616,RIOBLANCO,1329,103228.07,77.67349134687736,5.34,1061.07,0.7670369450714823
microsoft,73616,RIOBLANCO,9018,,,,,
google,27615,RIOSUCIO,1000,55753.4,55.7534,4.82,295.59,0.8022809
google,52621,ROBERTO PAYÁN,364,24371.21,66.95387362637362,6.98,371.86,0.7736326923076924
microsoft,52621,ROBERTO PAYÁN,2501,,,,,
google,52835,SAN ANDRES DE TUMACO,50493,3778355.86,74.82930029905135,2.73,3543.68,0.7791699027587983
microsoft,52835,SAN ANDRES DE TUMACO,29307,,,,,
google,54670,SAN CALIXTO,7736,539756.57,69.77204886246122,3.45,1260.16,0.7820703464322647
google,20750,SAN DIEGO,12205,904327.25,74.0948176976649,2.8,1920.93,0.7755407701761573
google,13654,SAN JACINTO,14706,976381.31,66.39339793281654,2.54,1983.59,0.7784804841561268
google,23682,SAN JOSE DE URE,4028,272113.41,67.55546425024825,4.58,2993.17,0.7839533763654419
google,18610,SAN JOSÉ DEL FRAGUA,5240,526616.88,100.49940458015267,5.26,1787.29,0.7730810114503817
microsoft,18610,SAN JOSÉ DEL FRAGUA,4850,,,,,
google,95001,SAN JOSÉ DEL GUAVIARE,32695,3166336.55,96.84467196819085,3.53,4173.7,0.7858066829790488
microsoft,95001,SAN JOSÉ DEL GUAVIARE,21446,,,,,
google,44650,SAN JUAN DEL CESAR,28564,2022584.94,70.8088832096345,2.67,2749.12,0.7824434462960369
google,13657,SAN JUAN NEPOMUCENO,21831,1446954.32,66.27980028399982,3.02,1868.65,0.7803491502908707
google,86757,SAN MIGUEL,12160,927004.6,76.23393092105263,3.56,1594.27,0.7831234457236842
microsoft,86757,SAN MIGUEL,8558,,,,,
google,70713,SAN ONOFRE,24614,1698411.91,69.00186519866742,2.61,1705.7,0.7812478630047941
google,13670,SAN PABLO,15636,1120368.62,71.65314786390383,2.55,3018.7,0.7817641404451267
google,05665,SAN PEDRO DE URABA,22034,1644754.8,74.64621947898702,4.23,2763.79,0.7858836071525824
google,18753,SAN VICENTE DEL CAGUÁN,21599,2561137.07,118.57665030788462,3.79,2932.88,0.7852142599194406
microsoft,18753,SAN VICENTE DEL CAGUÁN,23587,,,,,
google,52696,SANTA BÁRBARA,1505,105312.09,69.97481063122923,4.85,1881.83,0.794738073089701
microsoft,52696,SANTA BÁRBARA,2488,,,,,
google,47001,SANTA MARTA,183652,16049617.35,87.3914651079215,2.51,16355.89,0.7747572757171172
google,13688,SANTA ROSA DEL SUR,18908,1491495.83,78.88173418658769,3.1,5783.68,0.7915588269515549
google,19698,SANTANDER DE QUILICHAO,35691,3851788.72,107.92044829228658,3.75,19079.46,0.7833725785211958
microsoft,19698,SANTANDER DE QUILICHAO,30842,,,,,
google,81736,SARAVENA,25140,2003241.66,79.68343914081146,4.23,2463.23,0.7791770206841687
google,54720,SARDINATA,13388,1107797.79,82.7455773827308,3.81,2389.6,0.7756514639976098
google,05736,SEGOVIA,16158,1196185.71,74.03055514296324,3.51,2193.56,0.772224749350167
google,13744,SIMITÍ,11018,842676.78,76.48182791795244,3.95,1330.52,0.782377527681975
google,27745,SIPÍ,1,9.87,9.87,9.87,9.87,0.6651
microsoft,27745,SIPÍ,653,,,,,
google,18756,SOLANO,5708,578277.29,101.30996671338472,2.9,6530.81,0.7891108269096005
microsoft,18756,SOLANO,5449,,,,,0.9669300019741056
google,18785,SOLITA,2992,307796.35,102.87311163101603,3.89,3768.77,0.7787127673796792
microsoft,18785,SOLITA,2508,,,,,
google,19780,SUÁREZ,14544,892501.94,61.36564493949395,2.61,2124.93,0.78427675330033
microsoft,19780,SUÁREZ,10556,,,,,
google,81794,TAME,35958,3200496.79,89.00652956226709,2.78,2534.95,0.7837573446799043
